"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","ISSN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes"
"Science--Popular works","general term","011358485","Monograph","Language material ; Text","Volume","GBA358211","9780755311507","","Highfield, Roger","","person","","Highfield, Roger [person]","The science of Harry Potter : how magic really works","","","","England","London","Headline","2002","","x, 374 pages, 22 cm","500","YK.2003.a.17078 ; m04/18490","","English",""
"Self-perception in children--Cross-cultural studies","general term","013585700","Monograph","Language material ; Text","Volume","","9783938028728","","","","","","Internationales Zentralinstitut für das Jugend- und Bildungsfernsehen [organisation] ; Götz, Maya [person]","Mit Pokémon in Harry Potters Welt : Medien in den Fantasien von Kindern","","Edition Televizion","","Germany","München","Kopaed","2006","","460 pages, illustrations, 21 cm","","YF.2006.a.35551","","German",""
"Self-perception in children--Cross-cultural studies--Congresses","general term","013147971","Monograph","Language material ; Text","Volume","GBA526050","9780805851915 ; 9780805851922","","","","","","Götz, Maya [person]","Media and the make-believe worlds of children : when Harry Potter meets Pokémon in Disneyland","","LEA's communication series","","England ; United States of America","London ; Mahwah, New Jersey","Eurospan ; Lawrence Erlbaum","2005","","xiv, 229 pages, illustrations, 24 cm + 1 CD rom","302.23083","Vm07/.50342","Congress","English",""
"Sex role in literature","general term","015904839","Monograph","Language material ; Text","Volume","","9789170186783","","Nilson, Maria","","person","","Nilson, Maria [person]","Från Gossip Girl till Harry Potter : genusperspektiv på ungdomslitteratur","","","","Sweden","Lund","","2010","","188 pages, 20 cm","","YF.2011.a.24827","","English ; Swedish",""
"Sociology of disability","general term","017676684","Monograph","Language material ; Text","Volume","GBB5I4614","9781479823611","","Bérubé, Michael","1961-","person","author","Bérubé, Michael, 1961-, author [person]","The secret life of stories : from Don Quixote to Harry Potter, how understanding intellectual disability transforms the way we read","","","","United States of America","New York","New York University Press","2016","","xiii, 223 pages, 22 cm","808.3","m16/.10635","","English",""
"Spirituality in literature","general term","011343874","Monograph","Language material ; Text","Volume","GBA384362","9780664226015","","Neal, C. W. (Connie W.)","1958-","person","","Neal, C. W. (Connie W.), 1958- [person]","The Gospel according to Harry Potter : spirituality in the stories of the world's most famous seeker","","","","England","London ; Louisville, Kentucky","Westminster John Knox Press","2002","","xvi, 166 pages, 22 cm","226.06","YK.2004.a.5205","","English",""
"Stage props","general term","017871083","Monograph","Cartographic image ; Language material ; Still image ; Text","Sheet ; Volume","GBB677017","9781785652882","","Revenson, Jody","","person","author","Revenson, Jody, author [person]","Harry Potter - the artifact vault","","","","England","London","Titan","2016","","207 pages, illustrations (black and white and colour), 29 cm + 1 poster (folded)","791.4372","LC.31.b.17487","","English","'An Insight Editions book'"
"Star Wars films--History and criticism","general term","016450011","Monograph","Language material ; Text","Volume","","9783837621488","","Flotmann, Christina","","person","","Flotmann, Christina [person]","Ambiguity in 'Star Wars' and 'Harry Potter' : a (post) structuralist reading of two popular myths","","Kultur- und Medientheorie","","Germany","Bielefeld","Transcript","2013","","393 pages, illustrations, 23 cm","791.43","YD.2013.a.1973","","English","Also presented as the author's thesis (doctoral) --Universität Paderborn"
"Success in literature","general term","016315248","Monograph","Language material ; Text","Volume","","9783828830103","","Himmelsbach, Silvia","","person","author","Himmelsbach, Silvia, author [person]","Harry Potters literarischer Zauber : eine Analyse zum Erfolg der Buchserie","","Wissenschaftliche Beiträge aus dem Tectum-verlag. Reihe Literaturwissenschaft","Band 26 [Wissenschaftliche Beiträge aus dem Tectum-verlag. Reihe Literaturwissenschaft]","Germany","Marburg","Tectum","2012","","volumes, 527, lviii, a 33 pages, black and white illustrations, 22 cm","","YF.2015.a.20982","Criticsm and interpretation","English ; German","Originally presented as the author's thesis (doctoral) --Universität des Saarlandes, 2011"
"Symbolism in literature","general term","014580933","Monograph","Language material ; Text","Volume","GBB017957","9781846940934","","Trevarthen, Geo Athena","","person","","Trevarthen, Geo Athena [person]","The seeker's guide to Harry Potter : the unauthorized course","","","","England","Winchester","","2008","","261 pages, illustrations, 22 cm","823.914","YK.2009.a.29919","","English","paperback"
"Sâarospatak","geographical term","012984956","Monograph","Language material ; Text","Volume","","9789637299063","","","","","","Kiss, Ferenc [person]","Ködöböcz József emlékére","","Sárospataki pedagógiai füzetek","22 [Sárospataki pedagógiai füzetek]","Hungary","Sárospatak","MECTIFK","2003","","224 pages, illustrations, 20 cm","","","","Hungarian","Constituent unit: Demeter, Éva. Terepgyakorlat a Természetismeret műveltségterületi képzésben ; Constituent unit: Farkasné Borza, Éva. Óvodai nevelés iskola előkészítő feladata ; Constituent unit: Fehâer Erzsâebet 1941-. Sâarospataki âovodâak mâultjâabâol ; Constituent unit: Ferâonâe Komolay Anikâo 1949-. Kooperatâiv tanulâas lehetîosâegei az âovâokâepzâesben ; Constituent unit: Gâal Gyèongyi. Projektmâodszer az irodalomâorâan ; Constituent unit: Hegedîus Lâaszlâo 1952-. Mâedia hatâasa a gyermeki agresszivitâasra ; Constituent unit: Kelemen Judit. Anthem mîufaj fejlîodâese a Stuart-restaurâaciâo kezdetâeig, 1660 ; Constituent unit: Kiss Ferenc. Csalâadi szocializâaciâos problâemâak a pszichâes sâerèulâesek hâatterâeben ; Constituent unit: Komâaromy Sâandor. Ifjâusâagi regâeny a hegyaljai felkelâesrîol ; Constituent unit: Kâezi Erzsâebet. Sâarospataki Reformâatus Kollâegium tanâarainak publikâaciâos tevâekenysâege a kâet vilâaghâaborâu kèozèott ; Constituent unit: Kőszegi, Ferenc. Magyarországi túrázás története II. XIX. század ; Constituent unit: Lavothâanâe Jâager Katalin. J. K. Rowling Harry Potter kèoteteirîol - leginkâabb az I. kèotetrîol ; Constituent unit: Molnâar Lâaszlâonâe. Betîutanâitâast segâitîo taneszkèoz ; Constituent unit: Molnâar âAgnes. Kèulfèoldi' nyelvtanok hasznâalhatâosâaga a magyar nyelv esetâeben Gâati Istvâan vâelemâenye szerint ; Constituent unit: Nagy, György. Akit ellepett a múlt pora ; Constituent unit: Sóstói, Pálné. Szemléletváltással az óvodából iskolába való átmenet zökkenőmentességéért! ; Constituent unit: Tornallyai Jâanosnâe. Projektpedagâogia a kèornyezetkultâura âorâakon ; Constituent unit: Tusnâady Lâaszlâo 1940-. Kèoltâeszet, valâosâag âes nyelvvâedelem ; Constituent unit: Tusnâady Lâaszlâonâe. Gyermekeink a mâedia vilâagâanak âutvesztîoiben ; Constituent unit: Vincze Tamâas. Idealizâalt gyermekkâep nyomâaban"
"Themes, motives","general term","018073835","Monograph","Language material ; Text","Volume","","9782130626701","","Milner, Jean-Claude","","person","","Milner, Jean-Claude [person]","Harry Potter à l'école des sciences morales et politiques","","","","France","Paris","Presses Universitaires de France","2014","","212 pages, 19 cm","791","YF.2016.a.24408","Criticsm and interpretation","French",""
"Theology","general term","013061714","Monograph","Language material ; Text","Volume","","9783825875145","","","","","","Wandinger, Nikolaus, 1965- [person] ; Drexler, Christoph, 1970- [person]","Leben, Tod und Zauberstab : auf theologischer Spurensuche in Harry Potter","","Literatur, Medien, Religion","Band 11 [Literatur, Medien, Religion]","Germany","Münster","","2004","","143 pages, 24 cm","","YF.2005.a.22453","","German",""
"Tolkien, J. R. R. (John Ronald Reuel), 1892-1973","person","015958765","Monograph","Language material ; Text","Volume","","9783825815875","","","","","","Söderblom, Kerstin, editor [person] ; Dinter, Astrid, 1969-, editor [person]","Vom Logos zum Mythos : 'Herr der Ringe' und 'Harry Potter' als zentrale Grunderzählungen des 21. Jahrhunderts : praktisch-theologische und religionsdidaktische Analysen","","Ökumenische Religionspädagogik","Band 2 [Ökumenische Religionspädagogik]","Germany","Berlin","","2010","","323 pages, black and white illustrations, 21 cm","","YF.2013.a.21903","","German",""
"Toy and movable books","general term","013795579","Monograph","Language material ; Text","Volume","GBA756028","9781405903585","","","","","","Rowling, J. K. [person]","Harry Potter and the Order of the Phoenix : portfolio","","","","England","London","BBC Children's","2007","","1 volume (scrapbook), colour illustrations, 28 cm + 6 posters + 5 postcards + 4 sheets of stickers + 1 postcard book","823.914","Cup.936/2540","Children's literature","English","In cardboard case ; Title from case"
"Toy and movable books--Specimens","general term","013274511","Monograph","Language material ; Text","Volume","GBA569176","9781405901536","","","","","","","Magical scenes : pop-up book","","Harry Potter","","England","London","BBC Children's","2005","","12 pages, colour illustrations, 28 cm","823.914","YK.2011.b.6724","Children's literature ; Illustration ; Pictorial work ; Specimen","English","Pages have fold-out flaps ; Pull-the-tab pop-up book, with acetate details ; Text and illustrations on inside covers ; Title from cover"
"Toy and movable books--Specimens","general term","013431848","Monograph","Language material ; Still image ; Text","Volume","GBA634031","9781405902045","","","","","","Finch, Keith, 1966-, illustrator [person] ; GrandPré, Mary, illustrator [person] ; Rowling, J. K. [person]","Harry at Hogwarts","","Harry Potter","","England","London","BBC Worldwide","2006","","10 unnumbered pages, chiefly colour illustrations, 13 cm","823.914","YK.2014.a.7055","Children's literature ; Pictorial work ; Specimen","English","'A hanging pop-up book' ; Title from cover"
"Toy and movable books--Specimens","general term","013431849","Monograph","Language material ; Text","Volume","GBA634032","9781405902052","","","","","","Rowling, J. K. [person] ; GrandPré, Mary [person] ; Finch, Keith, 1966- [person]","Magical creatures : a hanging pop-up book","","Harry Potter","","England","London","BBC Worldwide","2006","","12 pages, illustrations, 13 cm","823.914","YK.2014.a.7054","Children's literature ; Pictorial work ; Specimen","English","Based on the characters by J.K. Rowling ; Pop-up book, with ribbon ties attached to covers ; Text and illustrations on inside covers ; Title from cover ; book designed to be opened fully and hung up"
"Transfiguration (Spiritualism)--Juvenile fiction","general term","012266171","Monograph","Language material ; Text","Volume","GBA2Z5833","9780563533603","","","","","","","Harry Potter transfiguration book : with magical changing pictures","","","","England","London","BBC Children's","2002","","10 pages, colour illustrations, 25 cm","823.914","CLE.4/2002.b.21","Children's fiction ; Toy or moveable book","English","Lift the flap"
