"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","ISSN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes"
"1997-2011","chronological term","017374702","Monograph","Language material ; Text","Volume","","9783826056444","","Woiwod, Uta","","person","author","Woiwod, Uta, author [person]","Die literarische Kommunikationsspirale : strukturelle Wechselwirkungen zwischen literarischem Text und Rezeption in der angelsächsischen Kinder- und Jugendliteratur des späten 20./frühen 21. Jahrhunderts","","Epistemata. Reihe Literaturwissenschaft","Band 829, 2015 [Epistemata. Reihe Literaturwissenschaft]","Germany","Würzburg","Königshausen & Neumann","2015","","556 pages, 15 black and white illustrations, 24 cm","","X.0950/333 (829)","","English ; German","Originally presented as the author's thesis (doctoral) --Universität Köln"
"Adolescence in literature","general term","015995580","Monograph","Language material ; Text","Volume","GBB1E4431","9780786466740","","Saxena, Vandana","1977-","person","","Saxena, Vandana, 1977- [person]","The subversive Harry Potter : adolescent rebellion and containment in the J.K. Rowling novels","","","","United States of America","Jefferson, North Carolina","McFarland","2012","","vii, 210 pages, 23 cm","823.914","YC.2012.a.12301","","English",""
"Adventure stories--History and criticism","general term","018099664","Monograph","Language material ; Text","Volume","","9789170612251","","Alkestrand, Malin","1986-","person","","Strandberg, Mats, 1976- [person] ; Rowling, J. K. [person] ; Alkestrand, Malin, 1986- [person] ; Colfer, Eoin [person]","Magiska möjligheter : Harry Potter, Artemis Fowl och Cirkeln i skolans värdegrundsarbete","Artemis Fowl ; Cirkeln ; Harry Potter","Svenska barnboksinstitutets skriftserie","137 [Svenska barnboksinstitutets skriftserie]","Sweden","Göteborg","Makadam","2016","","349 pages, illustrations, 21 cm","","X.0900/633 (137)","","English",""
"Advertising--Brand name products","general term","013180862","Monograph","Language material ; Text","Volume","GBA534250","9781904879305","","Brown, Stephen","1955 March 23-","person","","Brown, Stephen, 1955 March 23- [person]","Wizard! : Harry Potter's brand magic","","Great brand stories","","England","London","Cyan","2005","","191 pages, illustrations, 18 cm","658.827","YK.2008.a.5468 ; m06/.35049","","English",""
"Alchemy--Juvenile fiction","general term","007716549","Monograph","Language material ; Text","Volume","GB99X1777","9780747545729","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the philosopher's stone","","","","England","London","Bloomsbury","1999","Special edition","224 pages, 24 cm","823.914","","","English","Originally published: 1997"
"Allusions in literature","general term","018375958","Monograph","Language material ; Text","Volume","GBB796499","9781138284661 ; 9781138284678","","Groves, Beatrice","1978-","person","author","Groves, Beatrice, 1978-, author [person]","Literary allusion in Harry Potter","","","","England","London","Routledge","2017","","1 volume, 24 cm","823.92","","","English","Additional physical form: ebook version. 9781351978729"
"Allusions in literature","general term","018377560","Monograph","Language material ; Text","Online resource (ebook ; Mobipocket ebook ; ePub ebook ; PDF ebook)","GBB798100","9781315269337 ; 9781351978712 ; 9781351978729 ; 9781351978736","","Groves, Beatrice","1978-","person","author","Groves, Beatrice, 1978-, author [person]","Literary allusion in Harry Potter","","","","England","London","Routledge","2017","","1 online resource","823.92","ELD.DS.147235","","English","Additional physical form: Print version. 9781138284661"
"Anelli, Melissa","person","014686380","Monograph","Language material ; Text","Volume","GBA896818","9781847394583","","Anelli, Melissa","","person","","Anelli, Melissa [person]","Harry, a history : the true story of a boy wizard, his fans, and life inside the Harry Potter phenomenon","","","","England","London","Pocket","2008","","xii, 356 pages 8 pages plates, 20 cm","823.914","YK.2010.a.6860","","English",""
"Anger","general term","015893890","Monograph","Language material ; Text","Volume","","9781921479311","","Sykley, Julie-Anne","","person","","Sykley, Julie-Anne [person]","Harry Potter power : free your inner power","","","","Australia","Carindale, Queensland","Interactive Publications","2010","","x, 258 pages, illustrations, 23 cm","152.4","YD.2011.a.7933","","English",""
"Animals, Mythical--Juvenile literature","general term","011935492","Monograph","Language material ; Text","Volume","GBA167195","9780141314815","","Colbert, David","","person","","Colbert, David [person]","The magical worlds of Harry Potter : a treasury of myths, legends and fascinating facts","","","","England","London","Puffin","2001","","224 pages, 20 cm","823.914","YK.2002.a.22003","Children's literature","English",""
"Animals, Mythical--Juvenile literature","general term","012919325","Monograph","Language material ; Text","Volume","GBA432331","9780141317380","","Colbert, David","","person","","Colbert, David [person]","The magical worlds of Harry Potter : a treasury of myths, legends and fascinating facts","","","","England","London","Puffin","2003","Fully updated edition","285 pages, illustrations, 20 cm","823.914","YK.2005.a.13541","Children's literature","English","Previous edition: 2001"
"Animals, Mythical--Juvenile literature","general term","014556698","Monograph","Language material ; Text","Volume","GBA890229","9781843173021","","Colbert, David","","person","","Colbert, David [person]","The magical worlds of Harry Potter : a treasury of myths, legends and fascinating facts","","","","England","London","Michael O'Mara","2007","New, expanded and updated edition","319 pages, illustrations, 20 cm","823.914","YK.2009.a.14242","Children's literature","English","Previous edition: 2003"
"Animals, Mythical--Pictorial works--Juvenile literature","general term","013431849","Monograph","Language material ; Text","Volume","GBA634032","9781405902052","","","","","","Rowling, J. K. [person] ; GrandPré, Mary [person] ; Finch, Keith, 1966- [person]","Magical creatures : a hanging pop-up book","","Harry Potter","","England","London","BBC Worldwide","2006","","12 pages, illustrations, 13 cm","823.914","YK.2014.a.7054","Children's literature ; Pictorial work ; Specimen","English","Based on the characters by J.K. Rowling ; Pop-up book, with ribbon ties attached to covers ; Text and illustrations on inside covers ; Title from cover ; book designed to be opened fully and hung up"
"Anxiety--Popular works","general term","015893890","Monograph","Language material ; Text","Volume","","9781921479311","","Sykley, Julie-Anne","","person","","Sykley, Julie-Anne [person]","Harry Potter power : free your inner power","","","","Australia","Carindale, Queensland","Interactive Publications","2010","","x, 258 pages, illustrations, 23 cm","152.4","YD.2011.a.7933","","English",""
"Apocalyptic literature--History and criticism","general term","014644440","Monograph","Language material ; Text","Volume","","9785170405848 ; 9785946633291","","Kuraev, Andreĭ","","person","","Kuraev, Andreĭ [person] ; Кураев, Андрей [person]","Fantazii︠a︡ i pravda 'Koda da Vinchi","Фантазия и правда 'Кода да Винчи'","","","Russia","Moskva ; Москва","Zebra E ; Зебра Е","2007","","526 pages, 21 cm","","YF.2008.a.22231","","Russian",""
"Archetype (Psychology) in literature","general term","017604907","Monograph","Language material ; Text","Volume","GBB5G0133","9781936367696","","Lutters, Frans","","person","author","Lutters, Frans, author [person] ; Mees, Philip, translator [person]","Who is Harry Potter?","","","","United States of America","Chatham, New York","Waldorf Publications","2016","","71 pages, 22 cm","823.92","","","English","Translated from the Dutch"
"Archetype (Psychology)","general term","014471912","Monograph","Language material ; Text","Volume","","9783890944869","","Hauf, Monika","","person","","Hauf, Monika [person]","Die Marke 'Harry Potter' : eine Auslegung im Sinne von C. G. Jung ; ein Erfolg der Archetypen","","","","Germany","Leipzig","Bohmeier","2006","1st Auflage","150 pages, 21 cm","133 ; 823.914","YF.2009.a.9359","","German",""
"Archetypus","general term","014471912","Monograph","Language material ; Text","Volume","","9783890944869","","Hauf, Monika","","person","","Hauf, Monika [person]","Die Marke 'Harry Potter' : eine Auslegung im Sinne von C. G. Jung ; ein Erfolg der Archetypen","","","","Germany","Leipzig","Bohmeier","2006","1st Auflage","150 pages, 21 cm","133 ; 823.914","YF.2009.a.9359","","German",""
"Associated Board of the Royal Schools of Music (Great Britain)--Examinations","organisation","016498747","Monograph","Notated music ; Performed music","Audio disc ; Volume","","9781848495067","","Associated Board of the Royal Schools of Music (Great Britain)","","organisation","","Grieg, Edvard, 1843-1907 [person] ; Lawrance, Peter [person] ; Tulou, Jean-Louis, 1786-1865 [person] ; Thomas, Kathryn, 1973- [person] ; McDowall, Cecilia [person] ; Arrieu, Claude, 1903-1990 [person] ; Demersseman, Jules, 1833-1866 [person] ; Gatti, Giovanni [person] ; Offenbach, Jacques, 1819-1880 [person] ; Stapleton, Dave, 1979- [person] ; Salter, Lionel [person] ; Rae, James [person] ; Stephen, Ros [person] ; Lyons, Graham, 1936- [person] ; Kelly, Bryan [person] ; Denley, Ian [person] ; Ledbury, Oliver [person] ; Grétry, André-Ernest-Modeste, 1741-1813 [person] ; Shaw, Richard, pianist [person] ; Mozart, Wolfgang Amadeus, 1756-1791 [person] ; Harris, Paul, 1956- [person] ; Doyle, Patrick, 1953- [person] ; Adams, Sally, musician [person] ; Pergolesi, Giovanni Battista, 1710-1736 [person] ; Burton, Anthony, writer [person] ; Boyce, William, 1711-1779 [person] ; Bullard, Alan, 1947- [person] ; Wastall, Peter [person] ; Gariboldi, G. [person] ; Milford, Robin, 1903-1959 [person] ; Luypaerts, Guy-Claude, 1949- [person] ; Sogni, Angela, musician [person] ; Associated Board of the Royal Schools of Music (Great Britain) [organisation] ; Gordon, David, 1965- [person] ; Schubert, Franz, 1797-1828 [person] ; Telemann, Georg Philipp, 1681-1767 [person]","Flute exam pieces : ABRSM grade 3 : selected from the 2014-2017 syllabus","Airs ; Amazonian mood ; Barcelona ; Chanson de la pastoure ; Chanson serbe ; Cinq sets ; Cool flute ; Don Giovanni ; Exercices journaliers ; Full on ; Harry Potter and the goblet of fire ; Hazelnote crunch ; High five ; Hole in my shoe ; Insouciance ; Menuette mit Trios ; Norwegische Tänze ; Overtures ; Panurge dans l'isle des lanternes ; Plaintive flute ; Progressive flute studies ; Serenades ; St Lucia ; Study ; Symphonies ; Toffee tango ; Tre giorni son che Nina ; Vie parisienne ; Waltzer ; Whistlin'","","","England","London","ABRSM","2013","Score, parts and CD","1 score (13 pages) + 1 part (10 pages), 31 cm + 1 CD","788.32","g.1787.w./2014-2017","","","3 pieces are for solo flute; the other 6 have piano accompaniment ; 9 pieces from the Associated Board of the Royal Schools of music examination syllabus for grade 3 flute ; CD contains full demonstration tracks for all 30 pieces on the syllabus and backing tracks for those with piano accompaniment, performed by Kathryn Thomas (flute) and Richard Shaw (piano) ; Cover title ; Includes notes on the pieces by Anthony Burton"
"Authors, English--Biography","general term","012689218","Monograph","Language material ; Text","Volume","GBA2X8534","9781855143425","","Eccleshare, Julia","","person","","Hove Museum and Art Gallery [organisation] ; Durham Art Gallery (Durham, England) [organisation] ; National Portrait Gallery (Great Britain) [organisation] ; Eccleshare, Julia [person]","Beatrix Potter to Harry Potter : portraits of children's writers","","","","England","London","National Portrait Gallery","2002","","136 pages, illustrations (some colour), portraits (some colour), 22 cm","778.92","YC.2002.a.14589","Biography ; Exhibition","English","Catalogue of an exhibition held at the National portraits Gallery, London, 15 May - 26 August 2002, Durham Art Gallery, 14 December 2002 - 26 January 2003 and Hove Museum and Art Gallery, 10 April - 10 June 2003"
"Authors, English--Portraits--Exhibitions","general term","012689218","Monograph","Language material ; Text","Volume","GBA2X8534","9781855143425","","Eccleshare, Julia","","person","","Hove Museum and Art Gallery [organisation] ; Durham Art Gallery (Durham, England) [organisation] ; National Portrait Gallery (Great Britain) [organisation] ; Eccleshare, Julia [person]","Beatrix Potter to Harry Potter : portraits of children's writers","","","","England","London","National Portrait Gallery","2002","","136 pages, illustrations (some colour), portraits (some colour), 22 cm","778.92","YC.2002.a.14589","Biography ; Exhibition","English","Catalogue of an exhibition held at the National portraits Gallery, London, 15 May - 26 August 2002, Durham Art Gallery, 14 December 2002 - 26 January 2003 and Hove Museum and Art Gallery, 10 April - 10 June 2003"
"Authors--Great Britain--Biography","general term","008968596","Monograph","Language material ; Text","Volume","","9789188818652","","Törnqvist, Evastina","","person","","Törnqvist, Evastina [person]","Den lille trollkarlen : en bok om J.K. Rowling och Harry Potter","","","","Sweden","Viken","Replik","2002","","223 pages, 22 cm","","YF.2004.a.15715","Biography","Swedish",""
"Bereavement in adolescence","general term","014493115","Monograph","Language material ; Text","Volume","GBA806186","9780415957656","","Markell, Kathryn A.","","person","","Markell, Kathryn A. [person] ; Markell, Marc A. [person]","The children who lived : using Harry Potter and other fictional characters to help grieving children and adolescents","","","","England ; United States of America","London","Routledge","2008","","xxvi, 182 pages, illustrations, 23 cm + 1 CD (4 3/4 in)","155.937083","EMC.2008.a.679 ; Vm09/.5052","","English",""
"Bereavement in children","general term","014493115","Monograph","Language material ; Text","Volume","GBA806186","9780415957656","","Markell, Kathryn A.","","person","","Markell, Kathryn A. [person] ; Markell, Marc A. [person]","The children who lived : using Harry Potter and other fictional characters to help grieving children and adolescents","","","","England ; United States of America","London","Routledge","2008","","xxvi, 182 pages, illustrations, 23 cm + 1 CD (4 3/4 in)","155.937083","EMC.2008.a.679 ; Vm09/.5052","","English",""
"Best books","general term","012669161","Monograph","Language material ; Text","Volume","GBA117612","9780901922359","","Campbell, Alasdair","","person","","Librarians of Institutes and Schools of Education [organisation] ; Campbell, Alasdair [person]","From Goggle-eyes to Harry Potter : a ten year supplement to outstanding children's books (1932-1988) listing 315 winners of awards of official commendations during the period from 1989 to 1998","","","","England ; Wales","Swansea","Librarians of Institutes & Schools of Education","1999","","47 pages, 21 cm","016.8239140809282","YC.2001.a.6162","","English","Includes indexes"
"Bible--In literature","title","015378096","Monograph","Language material ; Text","Volume","","9780881461626","","Killinger, John","","person","","Killinger, John [person]","The life, death, and resurrection of Harry Potter","","","","United States of America","Macon, Georgia","Mercer University Press","2009","1st edition","164 pages, 23 cm","823.914","m09/.33916","","English",""
"Bible--Study and teaching","title","011801794","Monograph","Language material ; Text","Volume","GBA248361","9781859995785","","","","","","Pollard, Nick [person] ; Scripture Union [organisation]","What does the Bible say about...Harry Potter : themes of magic, adolescence, ambition, good and evil","","Connect Bible studies","","England","Bletchley","Scripture Union","2001","","24 pages, 30 cm","","YK.2002.b.5095","","English","Cover title"
"Books and reading","general term","016315248","Monograph","Language material ; Text","Volume","","9783828830103","","Himmelsbach, Silvia","","person","author","Himmelsbach, Silvia, author [person]","Harry Potters literarischer Zauber : eine Analyse zum Erfolg der Buchserie","","Wissenschaftliche Beiträge aus dem Tectum-verlag. Reihe Literaturwissenschaft","Band 26 [Wissenschaftliche Beiträge aus dem Tectum-verlag. Reihe Literaturwissenschaft]","Germany","Marburg","Tectum","2012","","volumes, 527, lviii, a 33 pages, black and white illustrations, 22 cm","","YF.2015.a.20982","Criticsm and interpretation","English ; German","Originally presented as the author's thesis (doctoral) --Universität des Saarlandes, 2011"
"Brand name products","general term","014566395","Monograph","Language material ; Text","Volume","GBA847535","9780230203235","","Gunelius, Susan","","person","","Gunelius, Susan [person]","Harry Potter : the story of a global business phenomenon","","","","England","Basingstoke","Palgrave Macmillan","2008","","xix, 194 pages, illustrations, 24 cm","658.812","YC.2009.a.7897","","English",""
"Brand name products--Marketing","general term","013180862","Monograph","Language material ; Text","Volume","GBA534250","9781904879305","","Brown, Stephen","1955 March 23-","person","","Brown, Stephen, 1955 March 23- [person]","Wizard! : Harry Potter's brand magic","","Great brand stories","","England","London","Cyan","2005","","191 pages, illustrations, 18 cm","658.827","YK.2008.a.5468 ; m06/.35049","","English",""
"Branding (Marketing)","general term","014566395","Monograph","Language material ; Text","Volume","GBA847535","9780230203235","","Gunelius, Susan","","person","","Gunelius, Susan [person]","Harry Potter : the story of a global business phenomenon","","","","England","Basingstoke","Palgrave Macmillan","2008","","xix, 194 pages, illustrations, 24 cm","658.812","YC.2009.a.7897","","English",""
"Brown, Dan, 1964-","person","014644440","Monograph","Language material ; Text","Volume","","9785170405848 ; 9785946633291","","Kuraev, Andreĭ","","person","","Kuraev, Andreĭ [person] ; Кураев, Андрей [person]","Fantazii︠a︡ i pravda 'Koda da Vinchi","Фантазия и правда 'Кода да Винчи'","","","Russia","Moskva ; Москва","Zebra E ; Зебра Е","2007","","526 pages, 21 cm","","YF.2008.a.22231","","Russian",""
"Bulgakov, Mikhail, 1891-1940","person","014644440","Monograph","Language material ; Text","Volume","","9785170405848 ; 9785946633291","","Kuraev, Andreĭ","","person","","Kuraev, Andreĭ [person] ; Кураев, Андрей [person]","Fantazii︠a︡ i pravda 'Koda da Vinchi","Фантазия и правда 'Кода да Винчи'","","","Russia","Moskva ; Москва","Zebra E ; Зебра Е","2007","","526 pages, 21 cm","","YF.2008.a.22231","","Russian",""
"Bulgakov, Mikhail, 1891-1940--Philosophy","person","014644440","Monograph","Language material ; Text","Volume","","9785170405848 ; 9785946633291","","Kuraev, Andreĭ","","person","","Kuraev, Andreĭ [person] ; Кураев, Андрей [person]","Fantazii︠a︡ i pravda 'Koda da Vinchi","Фантазия и правда 'Кода да Винчи'","","","Russia","Moskva ; Москва","Zebra E ; Зебра Е","2007","","526 pages, 21 cm","","YF.2008.a.22231","","Russian",""
"COMPUTERS / Programming / Object Oriented","general term","016822176","Monograph","Language material ; Text","Volume","GBB484418","9781118581209","","Kak, Avinash C.","","person","","Kak, Avinash C. [person]","Designing with objects : object-oriented design patterns explained with stories from Harry Potter","","","","United States of America","Hoboken, New Jersey","Wiley","2015","","xix, 484 pages, illustrations, 26 cm","005.117","YC.2015.b.555","","English","Additional physical form: Kak, Avinash C. Online version. Designing with objects. Hoboken, New Jersey : John Wiley & Sons, Inc, 2014. 9781118902561 ; Includes index"
"Character merchandising","general term","013180862","Monograph","Language material ; Text","Volume","GBA534250","9781904879305","","Brown, Stephen","1955 March 23-","person","","Brown, Stephen, 1955 March 23- [person]","Wizard! : Harry Potter's brand magic","","Great brand stories","","England","London","Cyan","2005","","191 pages, illustrations, 18 cm","658.827","YK.2008.a.5468 ; m06/.35049","","English",""
"Characters and characteristics in literature","general term","014493115","Monograph","Language material ; Text","Volume","GBA806186","9780415957656","","Markell, Kathryn A.","","person","","Markell, Kathryn A. [person] ; Markell, Marc A. [person]","The children who lived : using Harry Potter and other fictional characters to help grieving children and adolescents","","","","England ; United States of America","London","Routledge","2008","","xxvi, 182 pages, illustrations, 23 cm + 1 CD (4 3/4 in)","155.937083","EMC.2008.a.679 ; Vm09/.5052","","English",""
"Characters and characteristics in motion pictures","general term","017437402","Monograph","Language material ; Still image ; Text","Volume","GBB590965","9781783296033","","Revenson, Jody","","person","author","Revenson, Jody, author [person]","Harry Potter. The character vault","Character vault","","","England","London","Titan","2015","","207 pages, illustrations (black and white and colour), 29 cm + 2 posters (folded)","791.4375","LC.31.b.15083","","English","Includes Death Eater masks booklet tipped in on page 179 ; Includes two posters in pouch attached to inside back cover"
"Characters and characteristics","general term","017808290","Monograph","Language material ; Text","Volume","","9783837631371","","Cuntz-Leng, Vera","1979-","person","author","Cuntz-Leng, Vera, 1979-, author [person]","Harry Potter que (e) r : eine Filmsaga im Spannungsfeld von Queer Reading, Slash-Fandom und Fantasyfilmgenre","Harry Potter quer","","","Germany","Bielefeld","Transcript","2015","","485 pages, 60 illustrations (some colour), 23 cm","","YF.2016.a.10946","Criticsm and interpretation","German","Additional physical form: 9783839431375 ; Originally presented as the author's dissertation--Universität Tübingen, 2014"
"Chess for children--Periodicals","general term","013435372","Serial","Language material ; Text","Volume","GBA765286","","1751-0112","","","","","","Harry Potter chess : the step-by-step course","Harry Potter chess","","","England","Gateshead","Agostini","2007-","","volumes, colour illustrations, 29 cm + 1 ches piece","794.14","Cup.937/942","Periodical","English",""
"Chess for children--Periodicals","general term","015591444","Serial","Language material ; Text","Volume","GBB0C9309","","2044-5393","","","","","","Harry Potter chess manual","","","","England","London","Agostini","2010-2010","","volumes, colour illustrations, 28 cm + chess pieces","794.1","Cup.937/1030","Periodical","English","Magazine 28 cm attached to card holder 42 x 54 cm"
"Chess sets--Periodicals","general term","013435372","Serial","Language material ; Text","Volume","GBA765286","","1751-0112","","","","","","Harry Potter chess : the step-by-step course","Harry Potter chess","","","England","Gateshead","Agostini","2007-","","volumes, colour illustrations, 29 cm + 1 ches piece","794.14","Cup.937/942","Periodical","English",""
"Chess sets--Periodicals","general term","015591444","Serial","Language material ; Text","Volume","GBB0C9309","","2044-5393","","","","","","Harry Potter chess manual","","","","England","London","Agostini","2010-2010","","volumes, colour illustrations, 28 cm + chess pieces","794.1","Cup.937/1030","Periodical","English","Magazine 28 cm attached to card holder 42 x 54 cm"
"Childhood in literature","general term","014343148","Monograph","Language material ; Text","Volume","","9782213634555","","Cani, Isabelle","","person","","Cani, Isabelle [person]","Harry Potter ou l'anti-Peter Pan : pour en finir avec la magie de l'enfance","","","","France","Paris","Fayard","2007","","321 pages, 22 cm","823.914","YF.2009.a.9307","","French",""
"Children's & teenage literature studies","general term","017853947","Monograph","Language material ; Text","Online resource (ebk)","GBB6F6879","9781306309295 ; 9781443855235","","","","","","Bell, Christopher E., 1974-, editor [person]","Legilimens! : perspectives in Harry Potter studies","","","","United Kingdom","Newcastle upon Tyne","Cambridge Scholars","2013","","1 online resource (viii, 158 pages)","823.9","ELD.DS.61123","Criticsm and interpretation","English",""
"Children's Literature","general term","017762393","Monograph","Language material ; Text","Online resource","GBB6H9569","9781137295828","","","","","","Hallett, Cynthia J., 1947- [person] ; Huey, Peggy J., 1951- [person]","J.K. Rowling : Harry Potter","","New casebooks","","England ; United Kingdom","Basingstoke","Palgrave Macmillan","2012","","1 online resource (224 pages)","823.914","ELD.DS.49415","","English",""
"Children's literature studies: general","general term","017762393","Monograph","Language material ; Text","Online resource","GBB6H9569","9781137295828","","","","","","Hallett, Cynthia J., 1947- [person] ; Huey, Peggy J., 1951- [person]","J.K. Rowling : Harry Potter","","New casebooks","","England ; United Kingdom","Basingstoke","Palgrave Macmillan","2012","","1 online resource (224 pages)","823.914","ELD.DS.49415","","English",""
"Children's literature","general term","013467911","Monograph","Language material ; Text","Volume","","9782227474529","","Mijolla-Mellor, Sophie de","","person","","Mijolla-Mellor, Sophie de [person]","L'enfant lecteur : de la Comtesse de Ségur à Harry Potter, les raisons du succès","","","","France","Paris","Bayard","2006","","189 pages, 21 cm","","YF.2007.a.24672","","French",""
"Children's literature","general term","018515347","Monograph","Language material ; Text","Online resource","GBB7H4927","9781446434475","","Lurie, Alison","","person","","Lurie, Alison [person]","Boys and girls forever : children's classics from Cinderella to Harry Potter","","","","England ; United Kingdom","London","Vintage Digital","2011","","1 online resource (256 pages)","809.89282","ELD.DS.187375","Criticsm and interpretation","English",""
"Children's literature, American--History and criticism","general term","012617444","Monograph","Language material ; Text","Volume","GBA117617","9780415928113","","Zipes, Jack","1937-","person","","Zipes, Jack, 1937- [person]","Sticks and stones : the troublesome success of children's literature from Slovenly Peter to Harry Potter","","","","England ; United States of America","London ; New York","Routledge","2000","","xiv, 213 pages, 24 cm","809.8928209045","YC.2001.a.6165 ; m01/13261","","English",""
"Children's literature, English","general term","012689218","Monograph","Language material ; Text","Volume","GBA2X8534","9781855143425","","Eccleshare, Julia","","person","","Hove Museum and Art Gallery [organisation] ; Durham Art Gallery (Durham, England) [organisation] ; National Portrait Gallery (Great Britain) [organisation] ; Eccleshare, Julia [person]","Beatrix Potter to Harry Potter : portraits of children's writers","","","","England","London","National Portrait Gallery","2002","","136 pages, illustrations (some colour), portraits (some colour), 22 cm","778.92","YC.2002.a.14589","Biography ; Exhibition","English","Catalogue of an exhibition held at the National portraits Gallery, London, 15 May - 26 August 2002, Durham Art Gallery, 14 December 2002 - 26 January 2003 and Hove Museum and Art Gallery, 10 April - 10 June 2003"
"Children's literature, English","general term","017374702","Monograph","Language material ; Text","Volume","","9783826056444","","Woiwod, Uta","","person","author","Woiwod, Uta, author [person]","Die literarische Kommunikationsspirale : strukturelle Wechselwirkungen zwischen literarischem Text und Rezeption in der angelsächsischen Kinder- und Jugendliteratur des späten 20./frühen 21. Jahrhunderts","","Epistemata. Reihe Literaturwissenschaft","Band 829, 2015 [Epistemata. Reihe Literaturwissenschaft]","Germany","Würzburg","Königshausen & Neumann","2015","","556 pages, 15 black and white illustrations, 24 cm","","X.0950/333 (829)","","English ; German","Originally presented as the author's thesis (doctoral) --Universität Köln"
"Children's literature, English--Germany--History and criticism","general term","013568902","Monograph","Language material ; Text","Volume","","9783939367000","","Günther, Wolfgang","","person","","Günther, Wolfgang [person]","Wege ins Wunderland : von Peter Pan bis Harry Potter","","","","Germany","Frankfurt","M. Gold","2006","","384 pages, 21 cm","","YF.2007.a.37571","","German",""
"Children's literature, English--History and criticism","general term","013394341","Monograph","Language material ; Text","Volume","","9788324204687","","Kowalewska, Dagmara","","person","","Kowalewska, Dagmara [person]","Harry i czary-mary, czyli, O wartościach edukacyjnych w cyklu powieści 'Harry Potter' J.K. Rowling","Harry i czary-mary ; O wartościach edukacyjnych w cyklu powieści 'Harry Potter' J.K. Rowling","","","Poland","Kraków","TAiWPN Universitas","2005","","422 pages, 24 cm","","YF.2006.a.12646","","Polish","Harry i czary-mary ; O wartościach edukacyjnych w cyklu powieści 'Harry Potter' J.K. Rowling"
"Children's literature, English--History and criticism","general term","014525019","Monograph","Language material ; Text","Volume","GBA820244","9781571431745","","Ark, Steve Vander","","person","","Ark, Steve Vander [person]","The lexicon : an unauthorized guide to Harry Potter fiction and related materials","","","","United States of America","Hove ; Oakland, California","Roundhouse","2009","","1 volume, 23 cm","823.914","","","English",""
"Children's literature, English--History and criticism","general term","016018187","Monograph","Language material ; Text","Volume","","9788873956303","","","","","","Petrina, Alessandra [person] ; Tosi, Laura, 1966- [person]","Dall'ABC a Harry Potter : storia della letteratura inglese per l'infanzia e la gioventù","","Biblioteca","","Italy","Bologna","Bononia University Press","2011","1st edition","443 pages, 21 cm","","YF.2012.a.11622","","English ; Italian","Collected essays"
"Children's literature, English--History and criticism","general term","016075378","Monograph","Language material ; Text","Volume","GBB300851","9781467023023 ; 9781467023030","","Deepa, Shree","","person","","Deepa, Shree [person] ; Karra, K. S. [person]","Harry Potter and Indian mythology","","","","United States of America","Bloomington, Indiana","AuthorHouse","2011","","281 pages, 20 cm","823.914","YK.2012.a.30509","","English",""
"Children's literature--History and criticism","general term","006951022","Monograph","Language material ; Text","Volume","GBA4Z6662","9780099453895","","Lurie, Alison","1926-","person","","Lurie, Alison, 1926- [person]","Boys and girls forever : children's classics from Cinderella to Harry Potter","","","","England","London","Vintage","2004","","xvi, 231 pages, 20 cm","809.89282","YK.2005.a.19101 ; m08/.37479","","English","Originally published: London: Chatto & Windus, 2003"
"Children's literature--History and criticism","general term","011981567","Monograph","Language material ; Text","Volume","GBA3Y9615","9780701175191","","Lurie, Alison","1926-","person","","Lurie, Alison, 1926- [person]","Boys and girls forever : children's classics from Cinderella to Harry Potter","","","","England","London","Chatto & Windus","2003","","xvi, 219 pages, 23 cm","809.89282","2708.e.2678","","English",""
"Children's literature--History and criticism","general term","012617444","Monograph","Language material ; Text","Volume","GBA117617","9780415928113","","Zipes, Jack","1937-","person","","Zipes, Jack, 1937- [person]","Sticks and stones : the troublesome success of children's literature from Slovenly Peter to Harry Potter","","","","England ; United States of America","London ; New York","Routledge","2000","","xiv, 213 pages, 24 cm","809.8928209045","YC.2001.a.6165 ; m01/13261","","English",""
"Children's literature--History and criticism","general term","014519143","Monograph","Language material ; Text","Volume","GBA817452","9780226473000","","Lerer, Seth","1955-","person","","Lerer, Seth, 1955- [person]","Children's literature : a reader's history, from Aesop to Harry Potter","","","","England ; United States of America","Chicago, Illinois ; London","University of Chicago Press","2008","","ix, 385 pages, illustrations, 24 cm","809.89282","YK.2008.a.20008 ; m08/.23323","","English",""
"Children's literature--History and criticism","general term","015326301","Monograph","Language material ; Text","Volume","GBA968997","9780226473017","","Lerer, Seth","1955-","person","","Lerer, Seth, 1955- [person]","Children's literature : a reader's history, from Aesop to Harry Potter","","","","England ; United States of America","Bristol ; Chicago, Illinois","University Presses Marketing ; University of Chicago Press","2009","","1 volume, illustrations, 23 cm","809.89282","","","English","Originally published: 2008"
